电影名称,总场次/占比,网票票房,哈票票房,万达票房,金逸票房,星美票房,实时(不含预售),预计,累积
西游伏妖篇,6.96万/27.1%,1166.82万,0,660.33万,0,21.73万,2683.35万,6727.59万,7.61亿
功夫瑜伽,6.43万/25%,1271.97万,0,725.72万,0,24.28万,3114.63万,8110.94万,4.1亿
大闹天竺,4.51万/17.6%,503.23万,0,188.1万,0,6.78万,1357.51万,3452.33万,3.96亿
乘风破浪,4.01万/15.6%,741.9万,0,341.94万,0,8.51万,1663.04万,4331.01万,1.91亿
熊出没之奇,2.62万/10.2%,650.68万,0,329.15万,0,9.54万,1465.35万,2337.46万,1.69亿
了不起的菲,6166/2.4%,160.23万,0,13.8万,0,935.00,100.39万,149.48万,--
健忘村,1761/0.7%,10.14万,0,18.75万,0,1000.00,52.01万,107.89万,1191万
太空旅客,642/0.2%,6.25万,0,11.82万,0,--,9.55万,22.28万,3.07亿
[戏规则,573/0.2%,66.46万,0,0,0,--,54.81万,76.04万,635万
降临,486/0.2%,10.17万,0,--,0,1.41万,21.68万,56.64万,1.02亿
大卫贝肯之,355/0.1%,6.78万,0,0,0,--,7.37万,9.87万,1.24亿
长城,351/0.1%,8306.10,0,24.21万,0,--,5.6万,10.6万,11.68亿
血战钢锯岭,273/0.1%,3.44万,0,--,0,--,3.15万,8.76万,4.24亿
